prob,mean,std,median,perc05,perc25,perc75,perc95
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0.0075,-2.48591100800479,0.0935985604435896,-2.49076620721383,-2.62877530321167,-2.54928800944691,-2.42662335588586,-2.32672535883783
0.015,-2.50009467778214,0.225122403688169,-2.51124351995796,-2.8311007243758,-2.65178558904569,-2.34260113403125,-2.12436637695359
0.0225,-2.52129556307759,0.330504996679359,-2.55381477415593,-3.05591452160803,-2.76807951167026,-2.27019119323119,-1.95614575356391
0.03,-2.58831622182516,0.586079447250766,-2.53649193796726,-3.50282478842739,-2.97006240689536,-2.3037185407211,-1.69407506063057
0.0375,-2.60097843021528,1.19527578672136,-2.58209091130752,-3.71413162914124,-3.05820151236364,-2.19072333149315,-1.64261279127954
0.045,-2.34884855879004,4.01067940361374,-2.70872192993498,-4.60361185159993,-3.20022650207114,-2.10495787497347,0.566870616616975
0.0525,-2.47293310604017,2.73289943143754,-2.58789889108847,-5.33678646358884,-3.48234146886302,-2.00244674685596,2.06419912343034
0.06,-1.09460084464316,13.3828817931141,-2.75243288317701,-5.74707641983823,-3.65765213460599,-2,4.21668111262133
0.0675,-1.05834981356906,13.1772143615416,-2.40210698587477,-7.1657128011698,-3.30667816396201,-1.96610178744359,4.31580323123895
0.075,-1.84311897648864,15.0186387552488,-2.26340560371859,-7.87010494720392,-3.648022832981,-1.99067804001406,2.22801921886134
