prob,mean,std,median,perc05,perc25,perc75,perc95
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0.025,-2.49281338866057,0.00617306598482895,-2.49277192763199,-2.50345938410402,-2.49647532956593,-2.48917861460363,-2.48219665671761
0.05,-2.49291431578348,0.0138921581759966,-2.49303329778977,-2.51590320991372,-2.50215332934022,-2.48342069680392,-2.46822684868228
0.075,-2.49321532606104,0.0188302946849809,-2.49296655951234,-2.52382487281112,-2.50429226564001,-2.48138818349301,-2.46219252201191
0.1,-2.49340228203266,0.0208351652963858,-2.49326076194534,-2.53077502878109,-2.5075107456425,-2.47835434813398,-2.46257042098712
0.125,-2.48261471643805,0.160032072375892,-2.49375179787411,-2.55655667754976,-2.51430066316965,-2.47005152262399,-2.43495044399859
0.15,-2.49521601541803,0.103369149633535,-2.49346523257426,-2.59262327713795,-2.52019313845221,-2.46671311392315,-2.41517925400873
0.175,-2.52225288796413,0.307777845037796,-2.49427265928362,-3.01503556137157,-2.53929149506247,-2.46059424808743,-2.25204233891726
0.2,-2.52609005684127,0.376279548310684,-2.49321162763531,-3.00169097652717,-2.54653512004754,-2.43974955535337,-2.20572224657367
0.225,-2.57233878914828,0.505721650466574,-2.49741045149767,-3.68942371607744,-2.56951176128797,-2.45160922554994,-1.92944159601134
0.25,-2.52671427485828,0.522921983927103,-2.49237745054148,-3.49165397509399,-2.54980856759197,-2.43657358536115,-1.85464228171088
