prob,mean,std,median,perc05,perc25,perc75,perc95
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0.0075,-2.48729000988076,0.043866698035954,-2.48705370814925,-2.55371459781831,-2.51728360687122,-2.45760105683181,-2.41320837153482
0.015,-2.48802191499756,0.106110859684709,-2.48798608971647,-2.66427265685215,-2.55582144496367,-2.42563008795261,-2.32651351200314
0.0225,-2.51703179295482,0.154828976457034,-2.51208204607338,-2.77201501032901,-2.61047995793652,-2.41284057829029,-2.28692437844448
0.03,-2.50881222669709,0.195299150058775,-2.52442806795233,-2.83671241439256,-2.63263276971215,-2.39719407977748,-2.14600842274857
0.0375,-2.50475770314093,0.336475646660974,-2.50267458093256,-2.98053780408212,-2.71687794250861,-2.32614166965628,-2.07046135726458
0.045,-2.61687138407323,0.389216239589002,-2.6154706271075,-3.22083968488208,-2.83988890808612,-2.38539048946355,-2.11461217344688
0.0525,-2.65697250507916,0.696009733207115,-2.71705955777192,-3.53820421754882,-2.93492694617871,-2.37319893972082,-1.81389769824091
0.06,-2.32118162352798,5.49255705060012,-2.73679228976417,-3.45982155155307,-2.9142825641545,-2.38748004527492,-1.4775817982648
0.0675,-1.73133402446988,8.28977333638557,-2.60642436806997,-3.59982075647952,-3.01801608050508,-2.18063209407742,-0.470831481754819
0.075,-2.98727666321055,12.9184381165277,-2.72304642368016,-3.96260261245269,-3.14869779648888,-2.12343880885044,0.338358793258558
