prob,mean,std,median,perc05,perc25,perc75,perc95
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0,-2.49290554703499,0.00413427290357483,-2.49307977619344,-2.49985044394572,-2.4951004339403,-2.49005604933093,-2.48586444262018
0.0075,-2.50210960462424,0.120982475757388,-2.49588620771698,-2.69809623552873,-2.58565671713547,-2.43369666562017,-2.2992412208095
0.015,-2.48745617698353,0.383464590825288,-2.51629207867937,-2.92083939152267,-2.68559409609509,-2.31085521857708,-2.04250009073155
0.0225,-2.54239910785099,0.719299841208624,-2.61730467633899,-3.40004280839905,-2.84536286001631,-2.28162365487181,-1.73054310610957
0.03,-2.41567238364601,1.33334580507372,-2.62426418093586,-3.85678592736955,-3.13708436986103,-2.22615358371458,1.70759576497796
0.0375,-2.54354000635471,1.48050256593317,-2.74870442006308,-4.37498283952869,-3.31867202335409,-2.13586471019603,0.740817911689343
0.045,-2.44319538470969,1.71658068279158,-2.80618997390848,-4.3592046022225,-3.45345248582012,-2.1617500889865,1.73256550078929
0.0525,-2.81355442643925,4.10255211360824,-2.70496533044912,-5.03535636005145,-3.53816869679629,-2.00092643668846,1.22662870167874
0.06,-1.49078180155353,7.33358496557585,-2.29050496442777,-4.75115123358455,-3.2036693373235,-1.99210800916919,1.64005300249647
0.0675,-2.70539001556085,13.1211225271544,-2.26937715533979,-7.73817197085681,-3.59697294052915,-1.99794584036384,2.46226665904812
0.075,-2.29475989947427,8.66186747544685,-2.36186335949897,-5.08345008916808,-3.38375341915869,-2,2.11559741075108
