prob,mean,std,median,perc05,perc25,perc75,perc95
0,-2.49267734744978,0.00493831392907799,-2.49248992928119,-2.49891826920103,-2.49613394588489,-2.48921381572411,-2.48611658972027
0.05,-2.49316216931128,0.0104126317905479,-2.49364786106179,-2.50578393064659,-2.50026518769946,-2.48553771841001,-2.47962096089256
0.1,-2.49409069586296,0.019549860067358,-2.49465182821869,-2.51726001597706,-2.50442071390714,-2.48352213531054,-2.46999178771878
0.15,-2.49341084046715,0.0233076917902648,-2.49316783810175,-2.52213403325724,-2.51036604452877,-2.47559042953408,-2.46384219652659
0.2,-2.49222418015749,0.023798050128315,-2.49391727448509,-2.51935763415232,-2.50622524405532,-2.47502065998019,-2.45924363073382
0.25,-2.49036165659364,0.0356816213165201,-2.48739507841769,-2.53616675035823,-2.5149660491848,-2.46629106298419,-2.4459915195807
0.3,-2.48378954722847,0.0347333518814597,-2.48499454400812,-2.52854627936693,-2.50827144206165,-2.46039770044838,-2.43826803536467
0.35,-2.47392507566618,0.0378961888824523,-2.47461666728167,-2.52476491104327,-2.50213761969769,-2.44741082446132,-2.42639389158748
0.4,-2.47290812465538,0.0488940835612906,-2.47476471001069,-2.53129638683266,-2.5011720554529,-2.44584001257126,-2.40679312674289
0.45,-2.37526426475124,0.0489323973630329,-2.37429419753269,-2.43730061920519,-2.40953944052643,-2.33746603418991,-2.31169915659521
0.5,-2.17889893002255,0.0499784531028141,-2.17482158102603,-2.25139374703542,-2.21300901362895,-2.14907959403038,-2.1172411365467
0.55,-2.02443990094317,0.0450635487180737,-2.02289689864846,-2.07944463019983,-2.05774547806408,-1.99270484254561,-1.96563003727742
0.6,-1.89481373027916,0.0387167869486083,-1.89603873711748,-1.94282561305199,-1.92018822648782,-1.86995068460036,-1.84331114834093
0.65,-1.80101590820708,0.0366523398750154,-1.8026946603953,-1.8437811685083,-1.82808731591644,-1.7745468715627,-1.75035578283673
0.7,-1.75069148508664,0.0373542065613548,-1.74941519740402,-1.79865662253839,-1.77954655628075,-1.72239131750014,-1.70279824267876
0.75,-1.81838792560977,0.0407072259371521,-1.82011508000644,-1.86094978157638,-1.84399965312755,-1.79451412053836,-1.75761435600996
