time,value
0,-4.9997431468593
1,-4.99954560857616
1.002,-3.80618647858323
1.004,4.99881821625621
1.006,4.99999969211186
1.75,4.99954560857616
1.752,3.80620055191588
1.754,-4.99881796484692
1.756,-4.99999969208761
2,-4.99954560857616
2.002,-3.75861310560669
2.004,4.99883167167802
2.006,4.9999996956382
2.25,4.99954560857616
2.252,3.80568941676262
2.254,-4.99882554404075
2.256,-4.99999969296816
2.5,-4.99954560857616
2.502,-3.80612905116353
2.504,4.99881913791475
2.506,4.99999969220365
2.75,4.99954560857616
2.75,4.99954560857616
