time,value
0,0
0.187,0.185912036825776
0.324,0.318360975634148
0.449,0.434064869676203
0.564,0.534570959843639
0.676,0.625677711100082
0.783,0.705408991860325
0.886,0.774547889568561
0.987,0.834376149373797
1.089,0.886163985846273
1.14,0.908633496115883
1.19,0.928368967249167
1.24,0.945783999449539
1.289,0.960557462959711
1.338,0.973025089416272
1.387,0.983156950037069
1.436,0.990928723091709
1.485,0.996321752286349
1.534,0.999323091548498
1.582,0.999937239509847
1.63,0.998247974377632
1.679,0.994151691910592
1.728,0.987668928783608
1.777,0.978815246996878
1.859,0.958755992855026
1.941,0.932253674894738
2.024,0.899048996434209
2.109,0.858630853302658
2.195,0.811428790961449
2.282,0.757576731967262
2.372,0.695842742546088
2.465,0.626139919390285
2.543,0.563480381491501
2.624,0.494789558686508
2.709,0.419226032031682
2.799,0.335930204845475
2.967,0.173706998339054
3.377,-0.233239116409332
3.491,-0.342341024658203
3.595,-0.438031138401608
3.707,-0.535759811715087
3.813,-0.622088480310391
3.915,-0.698577363172486
4.013,-0.76523567412844
4.121,-0.83016710324813
4.174,-0.858535851131489
4.227,-0.8844935362779
4.279,-0.907547765590531
4.331,-0.92814853866523
4.383,-0.946240163562551
4.434,-0.961499405335045
4.485,-0.974258329168664
4.536,-0.984483756294948
4.587,-0.992149096142199
4.637,-0.997159596486388
4.688,-0.999702603559841
4.738,-0.99967205576327
4.788,-0.997142848446434
4.839,-0.991995526308397
4.927,-0.977059308258435
5.015,-0.954561624481191
5.104,-0.924295368881056
5.194,-0.886249836745289
5.286,-0.839946868521867
5.379,-0.785921670016332
5.475,-0.723034754622564
5.574,-0.651215722795262
5.656,-0.586868077972156
5.741,-0.516009119455568
5.831,-0.436932247459435
5.926,-0.349638579238533
6.101,-0.181179144916287
6.523,0.237522626446415
6.637,0.346478722206863
6.741,0.44198889851629
6.85,0.536947602448012
6.953,0.620840728593247
7.052,0.695283805136995
7.148,0.76097505289412
7.248,0.821943385260951
7.346,0.87372804965299
7.442,0.916329124838692
7.536,0.949868394612432
7.583,0.963508599420309
7.63,0.975020805504436
7.677,0.984379587082552
7.723,0.991434162719487
7.77,0.996475614740601
7.816,0.99927878444897
7.862,0.999967853075379
7.908,0.998541362807705
7.954,0.995002331567135
8.001,0.989212251934741
8.048,0.981237404661557
8.095,0.971095402942557
8.142,0.958808646335697
8.189,0.9444042712904
8.284,0.908958093261789
8.381,0.864310548431275
8.479,0.810952373457
8.579,0.748487242677466
8.683,0.67559981330276
8.766,0.612150992906815
8.852,0.541968731419864
8.942,0.464241427681364
9.038,0.377206353535562
9.223,0.200411535792635
9.574,-0.148668862220968
9.717,-0.288080772898233
9.866,-0.427044788772558
10,-0.54402111088937
