time,value
0,3.2465300223685
0.00800000000000001,2.60474890993664
0.017,1.7985789112533
0.048,-1.24688429862067
0.0590000000000001,-2.27350615241599
0.0690000000000001,-3.11290566315688
0.0790000000000001,-3.82820344844957
0.084,-4.1301768264458
0.089,-4.39088284284714
0.094,-4.60771660931564
0.098,-4.74812438874198
0.103,-4.88083695836178
0.107,-4.95194162202735
0.11,-4.98450033020798
0.112,-4.99624470470716
0.113,-4.99912021981427
0.114,-4.9999961534875
0.115,-4.99887215536506
0.116,-4.99574867503121
0.118,-4.98350906439776
0.12,-4.96329690235317
0.122,-4.93514452404501
0.125,-4.87813002734079
0.13,-4.74422248959062
0.135,-4.56291224895592
0.14,-4.33601089742791
0.145,-4.06578555830744
0.155,-3.4065688277775
0.164,-2.69629062723719
0.174,-1.80600684914626
0.205,1.2391710399148
0.216,2.26641083491847
0.227,3.18439806594958
0.237,3.88675589610202
0.246,4.38706815301023
0.251,4.60461882450719
0.255,4.74562276823947
0.26,4.87910258883488
0.264,4.95083390475799
0.267,4.98386747322197
0.269,4.9959297924756
0.27,4.99896450071335
0.271,4.99999968980278
0.272,4.99903494568207
0.273,4.996070654236
0.275,4.984148971394
0.277,4.96425371342617
0.279,4.93641670850118
0.282,4.87987129902983
0.287,4.74673082368457
0.292,4.56616258300965
0.297,4.33997075517797
0.302,4.07041537416415
0.312,3.41239354928921
0.321,2.70299339547088
0.331,1.81343020602174
0.362,-1.23145463799593
0.373,-2.25930976856807
0.384,-3.17825464279069
0.394,-3.88174154060164
0.403,-4.38324233517788
0.408,-4.60150935987623
0.412,-4.74310911025164
0.417,-4.87735584324508
0.421,-4.94971362947603
0.424,-4.98322197443222
0.426,-4.9956022078437
0.427,-4.99879610151441
0.428,-4.99999054339425
0.429,-4.99918505572238
0.43,-4.99637996068314
0.432,-4.98477623587248
0.434,-4.96519793244664
0.436,-4.93767637151462
0.439,-4.88160019270611
0.444,-4.74922711748255
0.449,-4.56940133478686
0.454,-4.34391960439726
0.459,-4.07503486522942
0.469,-3.4182096151114
0.478,-2.70968930744038
0.488,-1.82084896305002
0.519,1.22373511243704
0.53,2.25220297137695
0.541,3.1721031578461
0.551,3.87671733888945
0.56,4.37940539905446
0.565,4.59838822331009
0.569,4.74058342115448
0.574,4.8755967260231
0.578,4.9485807990231
0.581,4.98256383547609
0.583,4.99526195164239
0.584,4.99861502264462
0.585,4.9999687142851
0.586,4.99932248510523
0.587,4.99667659358807
0.589,4.98539085624212
0.591,4.96612955701951
0.593,4.93892350989014
0.596,4.88331670398422
0.601,4.75171136465261
0.606,4.57262849607233
0.611,4.34785743506933
0.616,4.07964401978569
0.626,3.42401701049135
0.635,2.71637834616124
0.645,1.82826310141311
0.676,-1.21601248281906
0.687,-2.24509046137182
0.698,-3.16594362671938
0.708,-3.87168330370959
0.717,-4.3755573543725
0.722,-4.59525542272566
0.726,-4.73804570735453
0.731,-4.87382524163101
0.735,-4.94743541627268
0.738,-4.98189305802297
0.74,-4.99490902473475
0.741,-4.99842126456328
0.742,-4.99993420253071
0.743,-4.99944723348203
0.744,-4.99696055219836
0.746,-4.9859928309439
0.748,-4.96704858478167
0.75,-4.94015812046431
0.753,-4.88502082851014
0.758,-4.75418355889334
0.763,-4.57584405868021
0.768,-4.35178423720571
0.773,-4.08424282614165
0.783,-3.42981572069835
0.792,-2.7230604946664
0.802,-1.83567260230471
0.833,1.20828676873081
0.844,2.23797225659388
0.855,3.15977606503442
0.865,3.8666394478311
0.874,4.37169821089277
0.879,4.59211096606943
0.883,4.73549597528879
0.888,4.87204139456225
0.892,4.94627748413008
0.895,4.98120964377432
0.897,4.99454342801599
0.898,4.99821482776186
0.899,4.99988700821861
0.9,4.99955930053634
0.901,4.99723183579375
0.903,4.98658215845089
0.905,4.96795501340197
0.907,4.94138020010549
0.91,4.88671256196129
0.915,4.75664369393391
0.92,4.5790480144541
0.925,4.35570000084588
0.93,4.08883127263221
0.94,3.43560573102372
0.949,2.72973573600627
0.959,1.8430774469303
0.991,-1.29738594379597
1,-2.1339810659628
