nbspikes,val
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
28,1
29,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
13,1
14,1
13,1
14,1
14,1
12,1
15,1
10,1
14,1
12,1
15,1
12,1
16,1
12,1
16,1
11,1
15,1
13,1
13,1
15,1
12,1
15,1
10,1
15,1
13,1
14,1
13,1
13,1
14,1
13,1
15,1
11,1
14,1
12,1
15,1
12,1
16,1
11,1
16,1
11,1
15,1
14,1
12,1
16,1
11,1
15,1
12,1
16,1
11,1
15,1
12,1
16,1
11,1
16,1
13,1
13,1
15,1
13,1
13,1
14,1
13,1
15,1
13,1
13,1
14,1
13,1
15,1
13,1
13,1
12,1
15,1
11,1
14,1
13,1
15,1
13,1
15,1
13,1
14,1
11,1
15,1
14,1
13,1
15,1
11,1
16,1
10,1
15,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
11,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
10,1
11,1
10,1
11,1
10,1
